Start_frame,End_frame,Video_number
1020,1020,V33
1320,1530,V33
5340,6090,V33
6240,6240,V33
7320,7830,V33
7950,8250,V33
8700,9150,V33
9690,9810,V33
9900,9900,V33
10350,10620,V33
12150,12810,V33
22320,22560,V33
22560,23070,V33
23100,23520,V33
29970,30240,V33
30660,31440,V33
32160,32430,V33
33360,34110,V33
35070,35490,V33
1020,1080,V34
1170,1200,V34
1350,1410,V34
3570,3660,V34
3720,3900,V34
3930,3990,V34
7380,7590,V34
7590,7650,V34
7770,8190,V34
8220,8280,V34
8370,8610,V34
8640,8760,V34
8790,8970,V34
10020,10050,V34
10200,10800,V34
11160,11220,V34
11250,11400,V34
11850,12150,V34
14160,14940,V34
15120,15150,V34
15180,15270,V34
15300,15360,V34
15390,15420,V34
15480,15660,V34
15810,15840,V34
15870,16290,V34
16920,17220,V34
17340,17370,V34
17460,17460,V34
17520,17730,V34
22170,22170,V34
22200,22380,V34
23610,23730,V34
24660,24720,V34
25020,25200,V34
25440,26130,V34
27210,27750,V34
27960,28020,V34
31110,31380,V34
34320,34770,V34
2700,2760,V35
2910,3210,V35
3690,3810,V35
3960,4050,V35
4080,4110,V35
4170,4290,V35
15390,16170,V35
17190,17580,V35
18060,18150,V35
24390,24510,V35
24690,24840,V35
29790,29880,V35
29880,30480,V35
30480,30540,V35
31350,31950,V35
31980,32040,V35
33510,33990,V35
34050,34290,V35
180,210,V36
810,870,V36
870,930,V36
960,990,V36
1050,1110,V36
1140,1200,V36
1200,1200,V36
1290,1380,V36
1440,1530,V36
1860,1890,V36
2190,2220,V36
2250,2280,V36
2280,2310,V36
2310,2370,V36
2580,2640,V36
2790,2820,V36
3120,3120,V36
3570,3780,V36
4380,4560,V36
4590,4650,V36
4680,4770,V36
5700,5760,V36
5790,5880,V36
6090,6270,V36
6300,6330,V36
6360,6480,V36
8490,8610,V36
8640,8820,V36
8820,8880,V36
8970,9030,V36
9300,9330,V36
10290,10710,V36
10740,10740,V36
10770,10980,V36
11490,11730,V36
12450,12870,V36
12900,12900,V36
17070,17370,V36
18420,18450,V36
19740,20040,V36
20070,20130,V36
21030,21480,V36
21510,21540,V36
21570,21600,V36
22950,23430,V36
23850,24000,V36
24600,24630,V36
29040,29490,V36
29520,29580,V36
29640,29790,V36
29940,29940,V36
30480,30570,V36
30600,30900,V36
32160,32190,V36
32190,32400,V36
33330,33600,V36
34440,34650,V36
34980,35040,V36
35910,35940,V36
6270,7290,V37
7290,7410,V37
7800,7920,V37
7920,8100,V37
8100,8250,V37
8280,8520,V37
9300,9750,V37
15510,15540,V37
15570,16110,V37
16200,16380,V37
16380,16860,V37
18180,18990,V37
19020,19050,V37
19230,19710,V37
19740,19920,V37
20850,21210,V37
21210,21450,V37
23910,24090,V37
24270,24570,V37
25920,26010,V37
26010,26490,V37
29790,30150,V37
30780,31050,V37
33300,33660,V37
34050,34350,V37
35010,35190,V37
35250,35430,V37
1020,1080,V38
1140,1530,V38
1530,1620,V38
1860,2160,V38
2160,2250,V38
2280,2340,V38
2370,2430,V38
2430,2550,V38
3090,3240,V38
3480,3660,V38
3660,3720,V38
9540,9600,V38
9630,10020,V38
10200,10380,V38
10500,12360,V38
12990,13560,V38
14130,14340,V38
14700,14790,V38
14790,14940,V38
14970,15210,V38
19980,20220,V38
20880,21390,V38
23220,23670,V38
26190,26820,V38
26880,27210,V38
27780,28110,V38
28110,28170,V38
29640,30150,V38
34380,34470,V38
35370,35460,V38
1320,1320,V39
1350,1440,V39
1500,1530,V39
5460,6270,V39
6600,6810,V39
6900,6990,V39
7350,7920,V39
7980,8370,V39
8880,9090,V39
9420,9540,V39
9990,10290,V39
10500,10560,V39
10920,11010,V39
11220,11340,V39
11370,11400,V39
11400,11430,V39
11460,11550,V39
11550,11700,V39
12840,13110,V39
17730,18120,V39
19860,20070,V39
22020,22650,V39
22950,23340,V39
35160,35370,V39
35400,35490,V39
35520,36000,V39
1740,2040,V40
2070,2130,V40
3780,3930,V40
3990,4080,V40
4170,4200,V40
4440,4530,V40
5550,5670,V40
5850,5880,V40
6060,6120,V40
6210,6240,V40
6390,6390,V40
6480,6540,V40
6660,6690,V40
6810,6870,V40
6990,7020,V40
7110,7200,V40
7380,7410,V40
7410,7440,V40
7470,7500,V40
8430,8490,V40
8550,8580,V40
9690,9780,V40
9930,10110,V40
10260,10320,V40
10410,10470,V40
10680,10830,V40
10890,10950,V40
11400,11520,V40
11850,12090,V40
12720,12930,V40
13080,13200,V40
13440,13530,V40
13920,13980,V40
14040,14220,V40
16680,16770,V40
16890,16920,V40
17010,17100,V40
17160,17280,V40
21930,22230,V40
22650,23100,V40
24960,25290,V40
26040,26100,V40
28950,29040,V40
29370,29520,V40
29580,29700,V40
29880,30150,V40
30750,31080,V40
31650,31860,V40
31890,32070,V40
34050,34290,V40
4740,4770,V1001
9690,9750,V1001
10680,10740,V1001
12330,12390,V1001
12420,12450,V1001
12720,12900,V1001
14520,14820,V1001
21300,21450,V1001
21600,21750,V1001
23280,23340,V1001
23490,23700,V1001
23820,23970,V1001
8790,8850,V1002
8880,8940,V1002
11070,11250,V1002
14760,14880,V1002
14880,14940,V1002
14940,15120,V1002
18450,18510,V1002
18600,18840,V1002
33840,33990,V1002
34020,34140,V1002
12540,12630,V1003
14850,15000,V1003
17100,17130,V1003
18120,18300,V1003
18420,18630,V1003
21150,21270,V1003
30,60,V1004
3900,4020,V1004
5430,6240,V1004
6240,6270,V1004
10590,11370,V1004
11580,11610,V1004
11670,11730,V1004
12750,13530,V1004
13650,13710,V1004
13860,13860,V1004
14040,14190,V1004
14220,14280,V1004
14640,14700,V1004
14760,14790,V1004
15150,15300,V1004
15840,16170,V1004
17310,17520,V1004
17550,17730,V1004
19140,19260,V1004
19320,19530,V1004
19590,19650,V1004
19770,19830,V1004
20100,20370,V1004
20430,20610,V1004
20700,20790,V1004
24000,24120,V1004
24180,24300,V1004
24390,24420,V1004
24510,25110,V1004
31260,31650,V1004
32490,32520,V1004
32550,32670,V1004
32730,32790,V1004
32910,33180,V1004
33300,33720,V1004
33870,34140,V1004
4830,4890,V1005
13020,13050,V1005
13200,13290,V1005
13320,13350,V1005
13380,13410,V1005
14130,14220,V1005
22770,22830,V1005
24090,24120,V1005
24150,24180,V1005
25290,25350,V1005
25560,25560,V1005
18330,19230,V1006
23760,24510,V1006
26700,27300,V1006
12750,12810,V1007
15090,15180,V1007
16620,16740,V1007
16980,17190,V1007
20820,20910,V1007
28080,28140,V1007
60,90,V1008
7140,7230,V1008
7230,7260,V1008
7260,7350,V1008
11430,11580,V1008
12540,12960,V1008
14910,15000,V1008
18480,18690,V1008
18750,19200,V1008
20190,20430,V1008
21000,21060,V1008
21090,21180,V1008
22050,22080,V1008
26910,27030,V1008
27330,27630,V1008
27690,27750,V1008
28230,28440,V1008
29340,29370,V1008
29430,29640,V1008
29940,30240,V1008
30270,30420,V1008
30720,31110,V1008
31680,31830,V1008
31920,31950,V1008
32040,32070,V1008
32100,32160,V1008
32340,32400,V1008
33240,33360,V1008
33390,33450,V1008
34860,34950,V1008
35040,35100,V1008
840,1380,V1009
7230,7620,V1009
8040,8100,V1009
8310,8610,V1009
8730,9390,V1009
9600,9990,V1009
12780,12990,V1009
16980,17070,V1009
17190,17250,V1009
17280,17430,V1009
17460,17550,V1009
17610,17880,V1009
19020,19140,V1009
19260,19590,V1009
19830,20280,V1009
23760,24030,V1009
24060,24210,V1009
25770,25860,V1009
25980,26100,V1009
27990,28110,V1009
32160,32520,V1009
32610,32880,V1009
6030,6060,V1010
6690,6720,V1010
6750,6810,V1010
7890,7920,V1010
8280,8340,V1010
8880,8910,V1010
9240,9300,V1010
10680,10710,V1010
11460,11520,V1010
12540,12600,V1010
13350,13380,V1010
13620,13710,V1010
14460,14550,V1010
15180,15270,V1010
15720,15810,V1010
19080,19200,V1010
21150,21270,V1010
22380,22500,V1010
22890,23070,V1010
23400,23490,V1010
23550,23610,V1010
25860,25890,V1010
28110,28140,V1010
30210,30360,V1010
30600,30630,V1010
33030,33210,V1010
33240,33510,V1010
33810,33900,V1010
34140,34200,V1010
34320,34500,V1010
34530,34860,V1010
1110,1140,V101002
3990,4110,V101002
6930,6960,V101002
7050,7140,V101002
7800,8400,V101002
8430,8460,V101002
9900,9930,V101002
10140,10260,V101002
11940,12180,V101002
13050,13080,V101002
13320,13590,V101002
15000,15060,V101002
18180,18240,V101002
18660,18720,V101002
19440,19560,V101002
19560,19620,V101002
20880,20910,V101002
21060,21210,V101002
21210,21270,V101002
22140,22170,V101002
22320,22530,V101002
22530,22800,V101002
24270,24780,V101002
24960,24990,V101002
25020,25170,V101002
25200,25260,V101002
25320,25440,V101002
25830,26400,V101002
28770,29100,V101002
29400,29490,V101002
29550,29640,V101002
30030,30060,V101002
30450,30480,V101002
31080,31200,V101002
31260,31260,V101002
32640,32670,V101002
34920,34980,V101002
35250,35370,V101002
1350,1380,V101003
1650,1680,V101003
2310,2550,V101003
2850,3090,V101003
4110,4170,V101003
4500,4800,V101003
5640,5640,V101003
6360,6390,V101003
9270,9480,V101003
11760,11940,V101003
13230,13650,V101003
13890,14100,V101003
14100,14400,V101003
14820,14880,V101003
15360,15390,V101003
17580,17700,V101003
19500,19530,V101003
22380,22500,V101003
30330,30480,V101003
30510,30660,V101003
30960,31200,V101003
32280,32400,V101003
32640,32700,V101003
33960,34020,V101003
34860,34980,V101003
35400,35430,V101003
4440,4470,V1011
6630,6660,V1011
14640,14760,V1011
24720,24720,V1011
26940,26970,V1011
33990,34020,V1011
34080,34110,V1011
34860,35070,V1011
35280,35340,V1011
35400,36000,V1011
75,135,V101102
885,1575,V101102
1665,1665,V101102
4965,4995,V101102
6825,6825,V101102
8175,8445,V101102
11655,11835,V101102
12075,12135,V101102
12135,12165,V101102
12855,12885,V101102
13065,13125,V101102
15585,16245,V101102
16755,16935,V101102
26145,26715,V101102
31245,31305,V101102
33585,33975,V101102
15285,15345,V101103
16455,16545,V101103
16575,16605,V101103
16725,17175,V101103
17955,18075,V101103
18225,18375,V101103
18465,18555,V101103
20925,21075,V101103
21105,21225,V101103
21465,21645,V101103
22095,22155,V101103
22185,22245,V101103
25485,25545,V101103
27195,27225,V101103
28575,28725,V101103
34005,34005,V101103
19620,19650,V1012
21120,21210,V1012
24240,24330,V1012
24330,24420,V1012
24540,24600,V1012
24720,24840,V1012
24870,25050,V1012
28620,28710,V1012
30030,30180,V1012
30450,30720,V1012
31050,31140,V1012
6525,6585,V101202
6735,7215,V101202
7275,7395,V101202
7725,7905,V101202
7905,8265,V101202
8475,8655,V101202
8655,8715,V101202
8715,9075,V101202
9705,10245,V101202
10335,10575,V101202
10695,10935,V101202
11925,12045,V101202
12045,12135,V101202
13515,13605,V101202
13605,13665,V101202
18135,18375,V101202
25515,25575,V101202
29205,29295,V101202
33255,33405,V101202
1005,1395,V101203
3495,3675,V101203
5085,5235,V101203
13245,13515,V101203
16365,16545,V101203
19605,19695,V101203
19785,19875,V101203
20505,20805,V101203
29595,29625,V101203
11940,11970,V1015
12030,12240,V1015
4800,5340,V1016
7710,7950,V1016
13710,14100,V1016
15960,16350,V1016
16620,17430,V1016
19890,20340,V1016
27060,27210,V1016
27240,27390,V1016
27690,27900,V1016
32670,32760,V1016
8460,8730,V1017
11880,12060,V1017
18450,18630,V1017
18690,18690,V1017
19470,19560,V1017
29070,29460,V1017
30960,31050,V1017
33150,33180,V1017
2460,2490,V1018
2700,2700,V1018
5910,5940,V1018
5940,6030,V1018
6060,6060,V1018
6120,6210,V1018
9330,9390,V1018
9600,9630,V1018
9750,9810,V1018
9990,10020,V1018
10830,10890,V1018
10890,10980,V1018
12660,12720,V1018
14400,14640,V1018
17190,17190,V1018
17220,17280,V1018
17280,17370,V1018
17520,17610,V1018
33990,36000,V1018
19260,19920,V1019
21300,21360,V1019
21390,21840,V1019
25320,25560,V1019
29820,29940,V1019
30210,30330,V1019
32040,32310,V1019
32310,32340,V1019
35100,35190,V1019
3690,5250,V1020
6120,6360,V1020
7260,7620,V1020
11430,11940,V1020
12540,12570,V1020
12900,13230,V1020
13260,13590,V1020
18600,18810,V1020
18900,19110,V1020
25470,25650,V1020
26670,26820,V1020
26880,27180,V1020
34620,34830,V1020
35550,36000,V1020
6690,7560,V1021
7890,8220,V1021
17730,17790,V1021
19980,20160,V1021
23280,23400,V1021
24960,25140,V1021
27840,27990,V1021
12330,12540,V1022
24990,25230,V1022
35460,35700,V1022
